OPEID,CITY,INSTNM,INSTURL,STABBR
357600,Houston,Houston Baptist University,www.hbu.edu,TX
195100,Pippa Passes,Alice Lloyd College,www.alc.edu,KY
132000,Santa Barbara,University of California-Santa Barbara,www.ucsb.edu,CA
235800,Saint Paul,Macalester College,www.macalester.edu,MN
265400,Socorro,New Mexico Institute of Mining and Technology,www.nmt.edu,NM
1205900,Ellendale,Trinity Bible College,trinitybiblecollege.edu/,ND
134800,Golden,Colorado School of Mines,www.mines.edu,CO
223800,Berrien Springs,Andrews University,www.andrews.edu,MI
159600,Toccoa Falls,Toccoa Falls College,www.tfc.edu,GA
475900,Jamaica,CUNY York College,www.york.cuny.edu,NY
269300,New York,CUNY John Jay College of Criminal Justice,www.jjay.cuny.edu,NY
281400,Saratoga Springs,Skidmore College,www.skidmore.edu/,NY
133900,Salem,Corban University,www.corban.edu,OR
131400,Irvine,University of California-Irvine,www.uci.edu/,CA
280300,Troy,Rensselaer Polytechnic Institute,www.rpi.edu,NY
314100,Wilberforce,Wilberforce University,www.wilberforce.edu,OH
302600,Wilberforce,Central State University,www.centralstate.edu,OH
381000,Athens,Concord University,www.concord.edu,WV
2280900,Elizabeth City,Mid-Atlantic Christian University,www.macuniversity.edu,NC
694100,Dallas,Dallas Christian College,www.dallas.edu,TX
268800,New York,CUNY City College,www.ccny.cuny.edu,NY
350700,Memphis,Memphis College of Art,www.mca.edu,TN
364500,Fort Worth,Texas Wesleyan University,www.txwes.edu,TX
153600,Coral Gables,University of Miami,www.miami.edu/,FL
302400,Cleveland,Case Western Reserve University,www.case.edu,OH
380900,Bluefield,Bluefield State College,www.bluefieldstate.edu,WV
290800,Wilson,Barton College,www.barton.edu/,NC
270400,New Rochelle,The College of New Rochelle,www.cnr.edu,NY
108600,Pine Bluff,University of Arkansas at Pine Bluff,www.uapb.edu,AR
321700,Portland,Reed College,www.reed.edu,OR
243300,Holly Springs,Rust College,www.rustcollege.edu,MS
363000,Prairie View,Prairie View A & M University,www.pvamu.edu,TX
365800,Austin,The University of Texas at Austin,www.utexas.edu,TX
2328900,Dubuque,Emmaus Bible College,www.emmaus.edu,IA
407215,West Palm Beach,Northwood University-Florida,www.northwood.edu,FL
269000,Queens,CUNY Queens College,www.qc.cuny.edu,NY
138000,Danbury,Western Connecticut State University,www.wcsu.edu,CT
